Date,Open,High,Low,Close,Adj Close,Volume
2011-05-04,47.740002,47.740002,47.740002,47.740002,37.664482,0
2011-05-05,47.310001,47.310001,47.310001,47.310001,37.325249,0
2011-05-06,47.500000,47.500000,47.500000,47.500000,37.475143,0
2011-05-09,47.709999,47.709999,47.709999,47.709999,37.640823,0
2011-05-10,48.099998,48.099998,48.099998,48.099998,37.948509,0
2011-05-11,47.590000,47.590000,47.590000,47.590000,37.546143,0
2011-05-12,47.830002,47.830002,47.830002,47.830002,37.735504,0
2011-05-13,47.439999,47.439999,47.439999,47.439999,37.427814,0
2011-05-16,47.150002,47.150002,47.150002,47.150002,37.199005,0
2011-05-17,47.150002,47.150002,47.150002,47.150002,37.199005,0
2011-05-18,47.570000,47.570000,47.570000,47.570000,37.530373,0
2011-05-19,47.680000,47.680000,47.680000,47.680000,37.617161,0
2011-05-20,47.310001,47.310001,47.310001,47.310001,37.325249,0
2011-05-23,46.750000,46.750000,46.750000,46.750000,36.883430,0
2011-05-24,46.709999,46.709999,46.709999,46.709999,36.851871,0
2011-05-25,46.860001,46.860001,46.860001,46.860001,36.970215,0
2011-05-26,47.060001,47.060001,47.060001,47.060001,37.128002,0
2011-05-27,47.259998,47.259998,47.259998,47.259998,37.285805,0
2011-05-31,47.759998,47.759998,47.759998,47.759998,37.680275,0
2011-06-01,46.680000,46.680000,46.680000,46.680000,36.828209,0
2011-06-02,46.619999,46.619999,46.619999,46.619999,36.780872,0
2011-06-03,46.169998,46.169998,46.169998,46.169998,36.425846,0
2011-06-06,45.680000,45.680000,45.680000,45.680000,36.039257,0
2011-06-07,45.639999,45.639999,45.639999,45.639999,36.007687,0
2011-06-08,45.450001,45.450001,45.450001,45.450001,35.857800,0
2011-06-09,45.790001,45.790001,45.790001,45.790001,36.126034,0
2011-06-10,45.150002,45.150002,45.150002,45.150002,35.621109,0
2011-06-13,45.189999,45.189999,45.189999,45.189999,35.652668,0
2011-06-14,45.770000,45.770000,45.770000,45.770000,36.110260,0
2011-06-15,44.970001,44.970001,44.970001,44.970001,35.479099,0
2011-06-16,45.060001,45.060001,45.060001,45.060001,35.550106,0
2011-06-17,45.189999,45.189999,45.189999,45.189999,35.652668,0
2011-06-20,45.439999,45.439999,45.439999,45.439999,35.849903,0
2011-06-21,46.049999,46.049999,46.049999,46.049999,36.331173,0
